symbol,expiry,dte,strike,type,bid,ask,mid,delta,iv
SPY,2025-11-27,3,360,call,92.21,94.07,93.14,0.8755,0.2404
SPY,2025-11-27,3,360,put,3.02,3.09,3.05,-0.0973,0.234
SPY,2025-11-27,3,366,call,86.32,88.06,87.19,0.8496,0.2405
SPY,2025-11-27,3,366,put,3.27,3.34,3.31,-0.1232,0.2492
SPY,2025-11-27,3,372,call,80.29,81.92,81.11,0.8236,0.2302
SPY,2025-11-27,3,372,put,3.07,3.14,3.11,-0.1492,0.2302
SPY,2025-11-27,3,379,call,73.65,75.13,74.39,0.7934,0.2467
SPY,2025-11-27,3,379,put,3.25,3.31,3.28,-0.1794,0.2386
SPY,2025-11-27,3,385,call,67.46,68.82,68.14,0.7674,0.2248
SPY,2025-11-27,3,385,put,3.25,3.31,3.28,-0.2054,0.2349
SPY,2025-11-27,3,391,call,61.55,62.79,62.17,0.7415,0.2234
SPY,2025-11-27,3,391,put,3.14,3.2,3.17,-0.2313,0.2234
SPY,2025-11-27,3,397,call,55.73,56.86,56.3,0.7155,0.229
SPY,2025-11-27,3,397,put,2.96,3.02,2.99,-0.2573,0.2075
SPY,2025-11-27,3,403,call,49.54,50.54,50.04,0.6896,0.2079
SPY,2025-11-27,3,403,put,3.18,3.24,3.21,-0.2832,0.2196
SPY,2025-11-27,3,410,call,43.05,43.92,43.48,0.6593,0.2134
SPY,2025-11-27,3,410,put,3.66,3.74,3.7,-0.3135,0.2267
SPY,2025-11-27,3,416,call,37.1,37.85,37.48,0.6334,0.213
SPY,2025-11-27,3,416,put,3.36,3.43,3.39,-0.3394,0.208
SPY,2025-11-27,3,422,call,31.52,32.16,31.84,0.6075,0.2353
SPY,2025-11-27,3,422,put,3.53,3.6,3.56,-0.3653,0.2184
SPY,2025-11-27,3,428,call,25.33,25.84,25.59,0.5815,0.2199
SPY,2025-11-27,3,428,put,3.31,3.38,3.35,-0.3913,0.205
SPY,2025-11-27,3,434,call,19.27,19.66,19.47,0.5556,0.2124
SPY,2025-11-27,3,434,put,3.54,3.61,3.57,-0.4172,0.2189
SPY,2025-11-27,3,441,call,12.22,12.46,12.34,0.5253,0.2046
SPY,2025-11-27,3,441,put,3.55,3.62,3.59,-0.4475,0.2199
SPY,2025-11-27,3,447,call,6.34,6.47,6.41,0.4994,0.2087
SPY,2025-11-27,3,447,put,3.42,3.49,3.46,-0.4734,0.2118
SPY,2025-11-27,3,453,call,3.37,3.44,3.41,0.4734,0.2087
SPY,2025-11-27,3,453,put,6.74,6.87,6.81,-0.4994,0.2332
SPY,2025-11-27,3,459,call,3.49,3.56,3.52,0.4475,0.216
